time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/loss,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/clip_range,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/approx_kl
76,64,311296,4836,985.15,0.12281487882137299,-21.579322140000002,0.0003,0.40063228756189345,0.2,0.021826171875,750,-0.003853676308062859,0.9954005004838109,-0.5817003697156906,0.0041621975
77,64,315392,4895,990.97,0.11334901303052902,-22.36036582,0.0003,0.3577285010367632,0.2,0.0181396484375,760,-0.0016844695433974265,0.9913566000759602,-0.6231687605381012,0.0024526354
78,64,319488,4953,990.97,0.296516478061676,-22.67450395,0.0003,0.5786301873624324,0.2,0.0191650390625,770,-0.003519119304837659,0.9939593309536576,-0.6997643992304802,0.0039087413
79,64,323584,5015,990.97,0.14756624400615692,-22.572305240000002,0.0003,0.41499733105301856,0.2,0.0197509765625,780,-0.0016563741839490831,0.9932873737998307,-0.727023783326149,0.0025638118
80,64,327680,5073,990.97,0.2514553964138031,-22.491167009999995,0.0003,0.6246466986835003,0.2,0.0151611328125,790,-0.0019537501386366783,0.9927937667816877,-0.8101099446415901,0.0025887254
81,64,331776,5136,996.82,0.22787177562713623,-21.736490599999996,0.0003,0.6712178818881511,0.2,0.010791015625,800,-0.0031494338414631783,0.986887838691473,-0.9235615000128746,0.00089440297
82,64,335872,5202,996.82,1.2002464532852173,-21.51081229,0.0003,2.202910855412483,0.2,0.0052734375,810,-0.0018870544445235282,0.9755932241678238,-0.9199078619480133,0.0046981894
83,64,339968,5266,996.82,0.7755728960037231,-20.551076119999998,0.0003,2.11477812230587,0.2,0.0243408203125,820,-0.0018486821529222653,0.9565125852823257,-0.8967398300766944,0.0057041054
84,64,344064,5326,996.82,0.7186417579650879,-20.577371580000005,0.0003,1.8294617176055907,0.2,0.0381591796875,830,-0.0016824934340547771,0.97572354786098,-0.9465432941913605,0.00400473
85,64,348160,5385,996.82,0.34449467062950134,-20.26812207,0.0003,1.2704838067293167,0.2,0.0128662109375,840,-0.001888463704381138,0.9749747160822153,-1.0562555074691773,0.0051857997
86,64,352256,5447,996.82,0.44761914014816284,-20.380464050000004,0.0003,1.1533861964941026,0.2,0.006787109375,850,-0.002291639073519036,0.9833902101963758,-0.7964717105031014,0.0025260784
87,64,356352,5507,996.82,0.324465811252594,-20.74017934,0.0003,0.7719626918435096,0.2,0.005322265625,860,-0.0028478526975959538,0.9891991792246699,-0.7863313555717468,0.0021313662
88,64,360448,5568,996.82,0.33448418974876404,-20.70574416,0.0003,1.192177452147007,0.2,0.029443359375,870,-0.002075375779531896,0.9830975830554962,-0.7660413891077041,0.0031181145
89,64,364544,5628,996.82,0.3145253360271454,-20.840371430000005,0.0003,0.7281898342072963,0.2,0.0276123046875,880,-0.0013301187427714467,0.9858086360618472,-0.8074176520109176,0.008446144
90,64,368640,5693,1000.0,1.0144327878952026,-20.224818499999998,0.0003,2.0117519587278365,0.2,0.0210205078125,890,6.81305828038603e-05,0.968163538724184,-0.8216217443346977,0.011739214
91,64,372736,5753,1000.0,0.4366922974586487,-19.65159337,0.0003,1.0324939668178559,0.2,0.0075439453125,900,-0.0009844354935921729,0.9843123685568571,-0.7683083832263946,0.0033940687
92,64,376832,5813,1000.0,0.22434508800506592,-19.7711453,0.0003,0.5648168690502644,0.2,0.0043212890625,910,-0.001105260557960719,0.9925044383853674,-0.5703915432095528,0.0012761082
93,64,380928,5875,1000.0,0.1698974370956421,-19.908100400000002,0.0003,0.4458777941763401,0.2,0.012109375,920,-0.0018252046080306172,0.9944497598335147,-0.5816249966621398,0.0026173377
94,64,385024,5934,1000.0,0.17496825754642487,-19.872262350000003,0.0003,0.5871552519500256,0.2,0.0104248046875,930,-0.0010658934421371668,0.9892114521935582,-0.6142615646123886,0.0028511006
95,64,389120,5997,1000.0,0.5758602023124695,-19.597658850000002,0.0003,1.5918318584561348,0.2,0.0158935546875,940,-0.0024655310378875585,0.9809270389378071,-0.7270343884825706,0.0020179078
96,64,393216,6056,1000.0,0.4421217739582062,-18.980264690000002,0.0003,1.5777229383587836,0.2,0.025927734375,950,-0.002654084423556924,0.9725191202014685,-0.7945316940546036,0.0063350163
97,64,397312,6115,1000.0,0.5214949250221252,-19.328389780000002,0.0003,1.4313493013381957,0.2,0.01708984375,960,-0.0016263488563708962,0.9843965191394091,-0.5867241784930229,0.0022015737
98,64,401408,6175,1000.0,0.29300352931022644,-19.01770646,0.0003,0.9006948843598366,0.2,0.0022705078125,970,-0.0004990139335859567,0.9809526838362217,-0.45783102363348005,0.00035150663
99,65,405504,6234,1000.0,0.30522245168685913,-18.89301329,0.0003,0.5525372102856636,0.2,0.005078125,980,-0.001837838487699628,0.9938534498214722,-0.40146045237779615,0.001190566
100,65,409600,6295,1000.0,0.10371110588312149,-19.47064042,0.0003,0.3468757949769497,0.2,0.0300537109375,990,-0.002597131277434528,0.9947869875468314,-0.39293050169944765,0.024525456
101,65,413696,6354,1000.0,0.39363259077072144,-19.118699239999998,0.0003,0.9073165968060494,0.2,0.0251953125,1000,-0.0019093110371613876,0.9900748068466783,-0.4202065132558346,0.0025431304
102,65,417792,6415,1000.0,0.6448129415512085,-19.0523063,0.0003,1.7543510735034942,0.2,0.0183349609375,1010,-0.0022163777437526734,0.9664408825337887,-0.6230753168463707,0.004216451
103,65,421888,6476,1000.0,0.750610888004303,-19.17458983,0.0003,1.8755263969302178,0.2,0.0065673828125,1020,-0.001620136690326035,0.9796785246580839,-0.5206329539418221,0.0012154621
104,65,425984,6536,1000.0,0.6918626427650452,-18.094666519999997,0.0003,2.0168809473514555,0.2,0.006591796875,1030,-0.0006343551911413669,0.9666207320988178,-0.4826728902757168,0.0014112375
105,65,430080,6596,1000.0,0.3336133658885956,-18.232372709999996,0.0003,0.7467946968972683,0.2,0.0046630859375,1040,-0.0016011039668228477,0.9908782225102186,-0.4459447473287582,0.0010789518
106,65,434176,6654,1000.0,0.1672843098640442,-18.51859121,0.0003,0.35448406971991064,0.2,0.0095947265625,1050,-0.0008981108199805022,0.9953088983893394,-0.40259637534618375,0.0009835503
107,65,438272,6713,1000.0,0.20925664901733398,-18.98577444,0.0003,0.46748104244470595,0.2,0.016796875,1060,-0.0022991476231254636,0.9955103253014386,-0.4519869089126587,0.0015249916
