time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/entropy_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/clip_range,rollout/ep_len_mean,train/loss,train/policy_gradient_loss,train/value_loss,train/learning_rate,rollout/ep_rew_mean,train/n_updates
458752,55,112,8296,-0.5835980165749788,0.016521242,0.14990234375,0.9667635224759579,0.2,979.8,6.056247711181641,0.003038480906980112,16.84251455515623,0.0002,787.2328755600003,1110
462848,55,113,8370,-0.38649396914988754,0.022306165,0.121435546875,0.9576210491359234,0.2,979.8,2.5598344802856445,-0.004851227317703888,15.496947663277387,0.0002,795.6711933400001,1120
466944,55,114,8442,-0.4273401535116136,0.06179084,0.194140625,0.95815110206604,0.2,976.92,3.1767020225524902,-0.014547326459432953,14.917499820142984,0.0002,797.6556264500001,1130
471040,55,115,8514,-0.3120193253736943,0.014496246,0.0978759765625,0.9640463329851627,0.2,972.82,10.036972999572754,-0.0019071376911597327,14.517129802703858,0.0002,803.84092906,1140
475136,55,116,8589,-0.28208440970629456,0.045256298,0.1036865234375,0.9439659081399441,0.2,972.82,4.9849677085876465,-0.0012662186622037553,19.639734099805356,0.0002,804.6544315499999,1150
479232,55,117,8664,-0.48736112313345076,0.019399472,0.1470703125,0.9663847200572491,0.2,972.82,2.7266433238983154,0.0026619866737746635,14.618291471898555,0.0002,791.5183213700001,1160
483328,55,118,8737,-0.48848881721496584,0.029500984,0.1302734375,0.9653070382773876,0.2,972.82,2.4995150566101074,0.003486023921868764,20.48820644766092,0.0002,784.79015103,1170
487424,55,119,8810,-0.3851498167961836,0.029560363,0.14677734375,0.9703440219163895,0.2,972.82,2.0461344718933105,-0.002174070010369178,12.318347957730293,0.0002,783.69746939,1180
491520,55,120,8886,-0.48100618133321404,0.112630084,0.153955078125,0.9651151970028877,0.2,971.53,9.120123863220215,-0.0019888507726136596,23.641977636516096,0.0002,783.61845323,1190
495616,55,121,8959,-0.4422862419858575,0.018256381,0.1560302734375,0.9821746200323105,0.2,966.56,1.6345770359039307,0.0036884995439322664,9.719265260547399,0.0002,790.6117548199999,1200
499712,55,122,9033,-0.33549544047564267,0.018854508,0.13515625,0.9437937848269939,0.2,966.56,2.850252866744995,-0.00990040005708579,14.084603402763605,0.0002,787.7633359299999,1210
503808,55,123,9108,-0.37468860810622573,0.017214678,0.125048828125,0.9523665755987167,0.2,967.28,4.0271830558776855,-0.0005197353515541181,17.3860153734684,0.0002,792.3932184099998,1220
507904,55,124,9185,-0.30411063102073965,0.012421622,0.1038330078125,0.9306785762310028,0.2,969.7,5.068933010101318,-0.0037670508987503125,16.411252564936877,0.0002,796.34048957,1230
512000,55,125,9261,-0.37602899614721536,0.017894212,0.1194580078125,0.964021060615778,0.2,972.28,2.559307336807251,-0.003974647977156564,9.685394589602947,0.0002,789.71300612,1240
516096,55,126,9333,-0.39773002713918687,0.02969995,0.1332763671875,0.9552185498178005,0.2,972.81,2.4820737838745117,-0.007922832408803515,14.346462397277355,0.0002,787.4997193500001,1250
520192,55,127,9407,-0.5101868283934892,0.021000773,0.15830078125,0.9702470768243074,0.2,971.03,2.0739426612854004,-0.0014047118020243943,10.855650379508734,0.0002,787.6910876400001,1260
524288,55,128,9483,-0.3371132677420974,0.014357685,0.10390625,0.9534350223839283,0.2,966.13,4.52199649810791,0.0027611245604930446,15.461541883647442,0.0002,793.90919754,1270
528384,55,129,9551,-0.3999050849117339,0.020055968,0.113232421875,0.9769481867551804,0.2,969.08,3.109133243560791,-0.004970855652936734,9.714166045933961,0.0002,793.3736477100001,1280
532480,55,130,9619,-0.32656048159115014,0.024540856,0.129248046875,0.9512986913323402,0.2,967.11,4.700582981109619,0.006383571679180022,15.181543454527855,0.0002,800.8823075699999,1290
536576,55,131,9685,-0.3848227031063288,0.026298832,0.152490234375,0.9737134650349617,0.2,964.76,2.031679391860962,-0.002337725175311789,10.771806886792183,0.0002,809.27157145,1300
540672,55,132,9752,-0.5214779565110803,0.01865796,0.1267333984375,0.9735758602619171,0.2,967.39,3.274686336517334,0.0032811984536238016,14.410125170648097,0.0002,793.9749772499999,1310
544768,55,133,9820,-0.5090991666540503,0.025597164,0.1725830078125,0.9826497603207827,0.2,960.64,1.320169448852539,-0.006401891142013482,7.9206130996346475,0.0002,784.9197901200002,1320
548864,55,134,9888,-0.450440280046314,0.02837905,0.1283447265625,0.9595455229282379,0.2,963.49,3.1590800285339355,-0.004193187225610018,14.750211251527071,0.0002,783.5467935,1330
552960,55,135,9956,-0.2966987000778317,0.015364398,0.100048828125,0.9732608553022146,0.2,963.49,2.375786066055298,-0.0001560308854095638,11.35929578617215,0.0002,793.0109262,1340
557056,55,136,10023,-0.5254150710068644,0.02158685,0.1402099609375,0.9789437595754862,0.2,963.49,2.889883279800415,-0.009533057964290492,12.671924117207528,0.0002,793.2969401199999,1350
561152,55,137,10092,-0.30433250102214515,0.017854892,0.1060302734375,0.9742006044834852,0.2,958.78,1.8058500289916992,-0.000565609845216386,8.3027541346848,0.0002,795.0126176699999,1360
565248,55,138,10156,-0.3742588664870709,0.017971238,0.1117431640625,0.9686438366770744,0.2,964.18,2.574187755584717,-0.005563143250765279,13.999247200787067,0.0002,794.3592210400001,1370
569344,55,139,10215,-0.5352007497102023,0.021815691,0.163330078125,0.9894638704136014,0.2,963.61,1.4022796154022217,-0.00043439218716230245,7.502442541718483,0.0002,786.2592478400002,1380
573440,55,140,10275,-0.42695140149444344,0.013524879,0.103271484375,0.979301705956459,0.2,962.31,1.4837392568588257,-0.0060944570606807245,8.134006617963314,0.0002,783.41136799,1390
577536,55,141,10334,-0.4215627286583185,0.025347607,0.1344482421875,0.9694072175770998,0.2,955.16,1.697011947631836,-0.007310243289975915,9.67566770762205,0.0002,788.27728679,1400
581632,55,142,10393,-0.4835996235720813,0.023457857,0.1465576171875,0.9440077915787697,0.2,950.31,2.472062349319458,0.0028844688145909458,17.54573478102684,0.0002,775.32986302,1410
585728,56,143,10456,-0.3010424917563796,0.013120016,0.108935546875,0.9622786641120911,0.2,953.25,1.429179310798645,0.0019972068243077957,11.806186570227146,0.0002,772.9028146899999,1420
589824,56,144,10516,-0.3332853451836854,0.010884143,0.0909912109375,0.9750188961625099,0.2,955.47,1.8498198986053467,-0.002551426635181997,8.3209910325706,0.0002,772.30535054,1430
593920,56,145,10574,-0.29654704639688134,0.0200409,0.093505859375,0.9654732160270214,0.2,950.69,4.4735612869262695,-0.002670425354153849,13.475946293771267,0.0002,767.6848000000001,1440
598016,56,146,10633,-0.35993035514838995,0.02494457,0.115478515625,0.9725913591682911,0.2,944.35,4.52956485748291,-4.467133403522894e-05,14.064070288091898,0.0002,762.0162636200001,1450
