time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/approx_kl,train/entropy_loss,rollout/ep_len_mean,train/loss,train/clip_range,train/policy_gradient_loss,train/std,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/n_updates,train/clip_fraction,train/explained_variance
13190,625152,1221,47,0.0749406,-3.0569327652454374,981.22,6.879275798797607,0.2,0.034065464953891934,0.6840779185295105,523.80719534,0.0002,23.066310238838195,12200,0.4900390625,0.7819708287715912
13198,625664,1222,47,0.089260235,-3.0572014689445495,981.22,3.1561903953552246,0.2,0.051409504865296184,0.6842038035392761,523.80719534,0.0002,21.777231562137604,12210,0.4904296875,0.8700448721647263
13206,626176,1223,47,0.11980542,-3.0593407213687898,981.22,18.995113372802734,0.2,0.06157442508265376,0.6850666403770447,523.96262056,0.0002,51.47933940887451,12220,0.5162109375,0.5828301012516022
13214,626688,1224,47,0.14028257,-3.0618200957775117,981.22,1.6742632389068604,0.2,0.044927624380216004,0.6850403547286987,523.96262056,0.0002,17.781082767248154,12230,0.5291015625,0.8438954204320908
13222,627200,1225,47,0.098834515,-3.0627952754497527,981.22,3.1517698764801025,0.2,0.05281049166806042,0.685313880443573,525.18663684,0.0002,37.9269695520401,12240,0.4923828125,0.7575563937425613
13230,627712,1226,47,0.10873725,-3.0642638862133027,981.22,4.16283655166626,0.2,0.014177509606815875,0.6855790615081787,525.18663684,0.0002,24.607275581359865,12250,0.417578125,0.5420945286750793
13239,628224,1227,47,0.22599776,-3.066426473855972,981.22,8.28420352935791,0.2,0.0396019468549639,0.6861668825149536,522.86628694,0.0002,51.90080523490906,12260,0.55546875,0.6363243162631989
13247,628736,1228,47,0.25647563,-3.0676267802715302,981.22,5.978655815124512,0.2,0.047502597258426246,0.6859342455863953,522.86628694,0.0002,33.53980638980865,12270,0.58359375,0.7689921855926514
13255,629248,1229,47,0.28018942,-3.0657145619392394,981.22,2.2809152603149414,0.2,0.09507113674189896,0.6853286027908325,519.8186679,0.0002,29.1176651597023,12280,0.6220703125,0.6214368641376495
13263,629760,1230,47,0.14256103,-3.062091702222824,981.22,3.562873363494873,0.2,0.027705466444604098,0.6848229765892029,519.8186679,0.0002,15.506160569190978,12290,0.540234375,0.8911531865596771
13271,630272,1231,47,0.1027985,-3.0613114476203918,981.22,0.6963391304016113,0.2,-0.0016509091248735786,0.6848865747451782,518.0841795900001,0.0002,4.107091665267944,12300,0.33359375,0.4785916209220886
13280,630784,1232,47,0.030964209,-3.060901242494583,981.22,2.009323835372925,0.2,-0.007256501656956971,0.6845513582229614,518.0841795900001,0.0002,10.318818390369415,12310,0.31015625,0.9382841698825359
13289,631296,1233,47,0.09397341,-3.05786794424057,981.22,2.156365156173706,0.2,0.0038361080922186376,0.6836127042770386,518.2688223700002,0.0002,10.152330404520034,12320,0.4505859375,0.7111280560493469
