time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/loss,train/clip_range,train/explained_variance,train/n_updates,train/learning_rate,train/entropy_loss,train/value_loss,train/approx_kl,train/clip_fraction
378,190464,93,502,500.0,500.0,2.0596571266651155e-05,0.0017303822096437216,0.2,-3.8171849250793457,920,0.0003,-0.2826741670258343,1.4038585334219532e-07,0.00093098986,0.0134765625
380,192512,94,506,500.0,500.0,0.0005737820116337389,0.0020688469521701336,0.2,-2.2743091583251953,930,0.0003,-0.2734854590147734,1.120067420288251e-05,0.0023788933,0.022802734375
381,194560,95,509,500.0,500.0,-0.0029163796425564215,-0.011345317587256432,0.2,-1.3719465732574463,940,0.0003,-0.2560688002966344,7.051994373341585e-07,0.0030638915,0.03779296875
382,196608,96,513,500.0,500.0,-3.0794303165748714e-05,-0.0034171047154814005,0.2,-6.84624719619751,950,0.0003,-0.2562935619149357,1.3175638173379412e-06,0.0020458684,0.013525390625
384,198656,97,516,500.0,500.0,-0.0004494233056902885,0.004977095406502485,0.2,-1.1542353630065918,960,0.0003,-0.2646648013032973,6.405841634204989e-06,0.0013519465,0.0244140625
385,200704,98,520,500.0,500.0,-0.0005399151355959475,0.015834499150514603,0.2,-5.160552501678467,970,0.0003,-0.2615552538074553,1.3120069013439207e-07,0.002358849,0.013623046875
387,202752,99,523,500.0,500.0,-0.0011156450898852199,0.00044795466237701476,0.2,-2.0944573879241943,980,0.0003,-0.2384038596879691,3.495379911555574e-06,0.002360088,0.026708984375
388,204800,100,527,500.0,500.0,-0.0012996144039789214,-0.0020819639321416616,0.2,-1.816192626953125,990,0.0003,-0.25894237789325414,5.592067532234069e-06,0.0027914357,0.02578125
389,206848,101,530,500.0,500.0,-0.000424394516448956,-0.0053580948151648045,0.2,-2.0828115940093994,1000,0.0003,-0.23683927138336003,1.4860745196187963e-05,0.0006684825,0.017724609375
391,208896,102,533,500.0,500.0,0.0010440010621096008,-0.0006059273146092892,0.2,-1.551666021347046,1010,0.0003,-0.2481711114756763,1.1404463577946444e-07,0.0004383619,0.0197265625
392,210944,103,537,500.0,500.0,-5.4801171063445506e-05,0.0006775145884603262,0.2,-2.0452797412872314,1020,0.0003,-0.23062125607393683,4.985222631148645e-07,0.0011882823,0.016015625
393,212992,104,541,500.0,500.0,-0.0036343150481116028,-0.020623018965125084,0.2,-0.9037876129150391,1030,0.0003,-0.24308345103636383,3.0513843398694005e-07,0.008156523,0.082275390625
394,215040,105,544,500.0,500.0,-0.0009759642445715145,0.0009570891270413995,0.2,-2.4512720108032227,1040,0.0003,-0.27261820528656244,1.8407659982244696e-05,0.0062876716,0.03232421875
395,217088,106,548,500.0,500.0,0.00023683588078711183,-0.012530919164419174,0.2,-0.8938109874725342,1050,0.0003,-0.249730228446424,3.9015042148093925e-07,0.0012904172,0.006201171875
397,219136,107,551,500.0,500.0,-2.2837960568722337e-05,-0.01403836440294981,0.2,-3.12300968170166,1060,0.0003,-0.28087589400820434,1.1882695503118156e-07,0.0041688215,0.0310546875
398,221184,108,555,500.0,500.0,-6.967391236685216e-05,0.0008222768665291369,0.2,-2.6298036575317383,1070,0.0003,-0.2590326376259327,1.6966525322459348e-07,0.0025329527,0.01123046875
