time/fps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/std,train/entropy_loss,train/clip_fraction,train/loss,train/learning_rate,train/value_loss,train/approx_kl,train/clip_range
280,253.73193536000002,2341,321,657408,1059.43,3200,0.179457426071167,-0.011488918792747427,0.34173494577407837,-1.3383985284715891,0.290380859375,0.8031080961227417,0.0003,5.821557863056659,0.022007477,0.2
280,253.84313254,2349,322,659456,1058.22,3210,0.3768092393875122,-0.006940549504361115,0.34241175651550293,-1.345138893648982,0.25048828125,7.155842304229736,0.0003,5.48569432105869,0.02044294,0.2
280,254.02987575999998,2357,323,661504,1056.24,3220,0.3569902777671814,-0.009275094958138653,0.34411177039146423,-1.3653017684817315,0.276708984375,2.0310277938842773,0.0003,5.52018854226917,0.023113292,0.2
280,257.55026118,2362,324,663552,1063.34,3230,0.2736939787864685,-0.0038972684560576454,0.3428192138671875,-1.3642633978277445,0.259130859375,2.3275485038757324,0.0003,5.769498520158232,0.017221896,0.2
280,257.65619575000005,2369,325,665600,1062.25,3240,0.2501455545425415,-0.005437263194471598,0.338640034198761,-1.3344897825270892,0.258935546875,4.079800605773926,0.0003,5.654268610477447,0.02164591,0.2
280,258.97908178,2376,326,667648,1062.02,3250,0.24581795930862427,-0.01026583984203171,0.3366354703903198,-1.293072310835123,0.276513671875,5.0908708572387695,0.0003,5.647977965511382,0.023352843,0.2
280,260.40165583999993,2383,327,669696,1066.24,3260,0.29951947927474976,-0.010306023381417617,0.3317447602748871,-1.2538762755692006,0.253369140625,2.8494443893432617,0.0003,3.164986148662865,0.025440319,0.2
280,263.4134496799999,2391,328,671744,1069.77,3270,0.9626942686736584,-0.008099857726483606,0.3316858410835266,-1.2281349074095487,0.189111328125,7.348452091217041,0.0003,7.013265159539879,0.016758233,0.2
280,263.53537000999995,2399,329,673792,1068.51,3280,0.2653607726097107,-0.006918527177185751,0.3295890986919403,-1.2120667982846498,0.25576171875,3.350306510925293,0.0003,5.632738962117583,0.020186823,0.2
280,263.68683820999996,2407,330,675840,1067.18,3290,0.19751089811325073,-0.005902754273847677,0.33042240142822266,-1.208405565470457,0.241552734375,4.857476711273193,0.0003,3.6823502955958247,0.019318933,0.2
280,266.31299881999996,2416,331,677888,1069.28,3300,0.2523157000541687,-0.009880820350372233,0.3311937153339386,-1.2187266863882542,0.287548828125,1.5469053983688354,0.0003,4.37618484692648,0.024926491,0.2
280,267.77483563000004,2424,332,679936,1069.82,3310,0.0997081995010376,-0.001978837676870171,0.3329984247684479,-1.2318259589374065,0.315869140625,7.160600185394287,0.0003,6.000348069891333,0.027101422,0.2
280,267.90785776999996,2432,333,681984,1068.87,3320,0.20912981033325195,-0.010566398478113114,0.333551287651062,-1.2466250337660312,0.257763671875,4.7149434089660645,0.0003,4.694387988187373,0.027631933,0.2
280,268.0869356,2440,334,684032,1066.83,3330,0.2147567868232727,-0.013235403469298034,0.33524468541145325,-1.2547749314457177,0.277197265625,3.8150527477264404,0.0003,6.045096168480813,0.024891492,0.2
280,266.59800168000004,2448,335,686080,1063.09,3340,0.19007998704910278,-0.00543736967665609,0.33620479702949524,-1.271144350618124,0.304833984375,4.9476823806762695,0.0003,6.140554416179657,0.025397133,0.2
280,262.65792081,2454,336,688128,1050.65,3350,0.9049351885914803,-0.014202142370049842,0.33589476346969604,-1.2705508068203926,0.186767578125,4.095144748687744,0.0003,5.151959758158773,0.02012143,0.2
280,266.90503774,2460,337,690176,1059.12,3360,0.9326469749212265,-0.008675918873632327,0.33690565824508667,-1.2788567174226046,0.1814453125,3.298236846923828,0.0003,6.983104320243001,0.020109564,0.2
280,265.91236747,2466,338,692224,1057.44,3370,-0.0347590446472168,-0.009255276634939946,0.3373200595378876,-1.2899734199047088,0.28896484375,0.5852254629135132,0.0003,7.07212772089988,0.024381984,0.2
280,266.05596875,2473,339,694272,1055.84,3380,0.9573968127369881,-0.005157628119923175,0.3382507562637329,-1.2947637461125852,0.197802734375,1.043405294418335,0.0003,4.477764156181365,0.01986771,0.2
280,266.10717935,2480,340,696320,1055.6,3390,0.3065835237503052,-0.012607512495014817,0.33870643377304077,-1.3020612966269254,0.301708984375,10.239425659179688,0.0003,6.433725616149604,0.034462634,0.2
280,266.35142801999996,2488,341,698368,1052.65,3400,0.1547466516494751,-0.007571303901204374,0.33649638295173645,-1.2890527933835982,0.300634765625,1.624306559562683,0.0003,3.0999893109779806,0.026381718,0.2
