train/n_updates,train/value_loss,time/time_elapsed,train/std,time/iterations,time/total_timesteps,train/explained_variance,train/entropy_loss,time/fps,train/policy_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
7599,0.003800344653427601,227,0.6700217723846436,7600,60800,-0.6501744985580444,-4.052365303039551,267,0.09289655834436417,0.00096,262.93,-98.53604111000003
7699,0.016352668404579163,229,0.6611334085464478,7700,61600,-0.1479504108428955,-4.000082015991211,267,0.06474504619836807,0.00096,276.68,-98.66093867
7799,0.025185521692037582,232,0.6585912108421326,7800,62400,-2.087599515914917,-3.977560043334961,268,0.49454808235168457,0.00096,276.68,-98.66093867
7899,0.008407766930758953,234,0.6570653319358826,7900,63200,0.8546201139688492,-3.9665229320526123,269,0.31937628984451294,0.00096,291.45,-98.67189096999999
7999,0.025249604135751724,236,0.6539961099624634,8000,64000,-0.06995069980621338,-3.945479393005371,270,0.5505749583244324,0.00096,291.45,-98.67189096999999
8099,0.02984771504998207,238,0.6503753662109375,8100,64800,-3.9920120239257812,-3.9284446239471436,271,-0.716731071472168,0.00096,306.76,-98.61177169999998
8199,0.017022375017404556,240,0.646989643573761,8200,65600,-13.519822120666504,-3.9042577743530273,272,-0.45492905378341675,0.00096,306.76,-98.61177169999998
8299,0.03858841210603714,243,0.6434177160263062,8300,66400,0.8335150927305222,-3.880470037460327,272,-0.7204440832138062,0.00096,313.93,-99.18201284999999
8399,0.10685136914253235,246,0.6377695798873901,8400,67200,-2.553821086883545,-3.8449854850769043,273,-0.13731971383094788,0.00096,318.75,-99.55999947000001
8499,0.02418231964111328,249,0.6361339092254639,8500,68000,-0.5316100120544434,-3.831169605255127,272,0.26884618401527405,0.00096,321.52,-100.01153603000003
8599,0.05179125443100929,251,0.6348116993904114,8600,68800,0.5454385876655579,-3.8285269737243652,273,0.5249634981155396,0.00096,321.52,-100.01153603000003
8699,0.034058697521686554,254,0.6357479095458984,8700,69600,0.5262431204319,-3.8319027423858643,273,0.46455898880958557,0.00096,336.72,-99.55965127000002
8799,0.08219930529594421,257,0.6349582076072693,8800,70400,0.8524880111217499,-3.823805570602417,273,-0.9057937860488892,0.00096,336.72,-99.55965127000002
8899,0.023535361513495445,260,0.6333633661270142,8900,71200,0.9553071111440659,-3.811905860900879,273,0.4866723418235779,0.00096,351.72,-98.27739623000001
8999,0.06045084446668625,263,0.627139151096344,9000,72000,0.9590420387685299,-3.770814895629883,273,0.8401378393173218,0.00096,351.72,-98.27739623000001
9099,0.495857834815979,266,0.6222342848777771,9100,72800,-1.6469883918762207,-3.7437233924865723,273,1.895887017250061,0.00096,365.61,-97.24402045999999
9199,0.01614665798842907,269,0.6255456209182739,9200,73600,0.6523977816104889,-3.762038469314575,273,0.24921581149101257,0.00096,365.61,-97.24402045999999
9299,0.04785182327032089,272,0.6216962337493896,9300,74400,0.93556709587574,-3.7395801544189453,273,-0.7837539911270142,0.00096,380.55,-95.72843267999998
9399,0.011302914470434189,274,0.6200584769248962,9400,75200,0.9539441391825676,-3.7304577827453613,273,0.20954449474811554,0.00096,380.55,-95.72843267999998
9499,0.5441049933433533,277,0.6167426109313965,9500,76000,-0.242681622505188,-3.710353136062622,273,1.6027415990829468,0.00096,380.55,-94.54733457
9599,0.29767656326293945,280,0.6174514293670654,9600,76800,0.3428012728691101,-3.707249641418457,273,-1.6757134199142456,0.00096,380.55,-94.54733457
9699,0.6107100248336792,283,0.6238692998886108,9700,77600,-4.5749688148498535,-3.747795343399048,273,-3.138361930847168,0.00096,393.13,-93.60787044000003
9799,0.026614170521497726,286,0.6215424537658691,9800,78400,0.7669960707426071,-3.7278904914855957,273,-0.4192052483558655,0.00096,393.13,-93.60787044000003
9899,0.05210532993078232,289,0.6146456003189087,9900,79200,0.7902842313051224,-3.6839089393615723,273,-0.7280168533325195,0.00096,408.29,-92.88719045999999
9999,0.2557431161403656,292,0.6132903099060059,10000,80000,-2.3441321849823,-3.6731138229370117,273,1.9182111024856567,0.00096,407.99,-93.03745787999998
10099,0.049932174384593964,294,0.6088154315948486,10100,80800,0.9487668909132481,-3.6534886360168457,273,-1.0345385074615479,0.00096,407.99,-93.03745787999998
10199,0.033829327672719955,297,0.6117485761642456,10200,81600,0.9648278653621674,-3.6690704822540283,273,-0.6559410095214844,0.00096,409.95,-91.66649254999999
10299,0.09209684282541275,300,0.6142507195472717,10300,82400,-0.7812542915344238,-3.684260368347168,274,0.47815367579460144,0.00096,417.35,-91.55886111999999
10399,1.5344513654708862,303,0.6129813194274902,10400,83200,-67.19828033447266,-3.6765739917755127,274,3.0653882026672363,0.00096,428.81,-91.23587502999999
10499,0.022286493331193924,306,0.6092702150344849,10500,84000,0.8297510594129562,-3.6478662490844727,274,0.40889108180999756,0.00096,423.45,-91.25139760999998
10599,3.0368776321411133,309,0.6082246899604797,10600,84800,-5.248931407928467,-3.641831874847412,274,-5.81849479675293,0.00096,425.52,-91.14996516
