train/learning_rate,train/value_loss,train/policy_loss,train/explained_variance,train/n_updates,rollout/ep_rew_mean,time/fps,train/entropy_loss,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean
0.0007,6.443471647799015e-06,0.00018912370433099568,-0.5711355209350586,43199,208.56,377,-0.18913958966732025,43200,571,216000,208.56
0.0007,3.4826923638320295e-06,0.00014062933041714132,-10.513256072998047,43299,213.3,378,-0.20732426643371582,43300,572,216500,213.3
0.0007,9.06091918295715e-06,0.000264206639258191,-5.0137553215026855,43399,218.08,378,-0.2658079266548157,43400,573,217000,218.08
0.0007,1.997745130211115e-06,6.287010182859376e-05,-87.22173309326172,43499,222.8,378,-0.26364657282829285,43500,574,217500,222.8
0.0007,1.1860277027153643e-06,-5.6061729992507026e-05,-18.007417678833008,43599,227.58,378,-0.2296736091375351,43600,575,218000,227.58
0.0007,1.8701306316870614e-06,-0.0004926409455947578,-1.6373875141143799,43699,232.38,379,-0.26228150725364685,43700,576,218500,232.38
0.0007,1.7045764479917125e-06,1.3234015568741597e-05,-14.201847076416016,43799,237.15,379,-0.11403381824493408,43800,577,219000,237.15
0.0007,1.5955884009599686e-06,8.771461580181494e-05,-1.7744486331939697,43899,241.89,379,-0.3471488058567047,43900,578,219500,241.89
0.0007,7.277424629137386e-06,-0.001330880681052804,-11.644268035888672,43999,246.53,379,-0.3312978744506836,44000,579,220000,246.53
0.0007,2.8186711915623164e-06,-1.9837596482830122e-05,-5837.384765625,44099,251.31,380,-0.27644750475883484,44100,580,220500,251.31
0.0007,6.534974090754986e-07,0.00011031290341634303,-7.553619384765625,44199,256.11,380,-0.32496729493141174,44200,580,221000,256.11
0.0007,1.5971018001437187e-06,4.165450081927702e-05,-3.810347080230713,44299,260.88,380,-0.16772878170013428,44300,581,221500,260.88
0.0007,9.95735149444954e-07,2.0154764570179395e-05,-10.027840614318848,44399,265.64,380,-0.24029849469661713,44400,582,222000,265.64
0.0007,2.6220223503514717e-07,-0.00021695139002986252,-109.10147094726562,44499,270.32,381,-0.21151697635650635,44500,583,222500,270.32
0.0007,4.6112109686191616e-08,1.4950170452721068e-06,-16.119998931884766,44599,275.01,381,-0.23791252076625824,44600,584,223000,275.01
0.0007,7.216795438580448e-06,8.535658707842231e-05,-2.663861036300659,44699,279.76,381,-0.14551085233688354,44700,585,223500,279.76
0.0007,1.6532139852643013e-06,2.6183692170889117e-05,-7.41942024230957,44799,284.5,381,-0.2948571443557739,44800,586,224000,284.5
0.0007,1.40102349632798e-06,-0.0001272255030926317,-1.2666373252868652,44899,289.22,382,-0.31280064582824707,44900,587,224500,289.22
0.0007,7.840222906452254e-07,-4.1273768147220835e-05,-15.656612396240234,44999,293.97,382,-0.23905141651630402,45000,588,225000,293.97
0.0007,6.997189757385058e-06,0.0001199477119371295,-1.117394208908081,45099,298.79,382,-0.2061687558889389,45100,589,225500,298.79
0.0007,2.69606260872024e-07,-2.168595983675914e-06,-739.2526245117188,45199,303.53,382,-0.23081552982330322,45200,590,226000,303.53
0.0007,1.2757024023812846e-06,-7.677811663597822e-05,0.02011340856552124,45299,308.28,383,-0.2233591377735138,45300,591,226500,308.28
